,B_COUNTRY,StateNme
1184,400,Jordan
1185,400,Jordan
1186,400,Jordan
1187,400,Jordan
1188,400,Jordan
1189,400,Jordan
1190,400,Jordan
1191,400,Jordan
1192,400,Jordan
1193,400,Jordan
1194,400,Jordan
1195,400,Jordan
1196,400,Jordan
1197,400,Jordan
1198,400,Jordan
1199,400,Jordan
1200,400,Jordan
1201,400,Jordan
1202,400,Jordan
1203,400,Jordan
1204,400,Jordan
1205,400,Jordan
1206,400,Jordan
1207,400,Jordan
1208,400,Jordan
1209,400,Jordan
1210,400,Jordan
1211,400,Jordan
1212,400,Jordan
1213,400,Jordan
1214,400,Jordan
1215,400,Jordan
1216,400,Jordan
1217,400,Jordan
1218,400,Jordan
1219,400,Jordan
1220,400,Jordan
1221,400,Jordan
1222,400,Jordan
1223,400,Jordan
1224,400,Jordan
1225,400,Jordan
1226,400,Jordan
1227,400,Jordan
1228,400,Jordan
1229,400,Jordan
1230,400,Jordan
1231,400,Jordan
1232,400,Jordan
1233,400,Jordan
1234,400,Jordan
1235,400,Jordan
1236,400,Jordan
1237,400,Jordan
1238,400,Jordan
1239,400,Jordan
1240,400,Jordan
1241,400,Jordan
1242,400,Jordan
1243,400,Jordan
1244,400,Jordan
1245,400,Jordan
1246,400,Jordan
1247,400,Jordan
1248,400,Jordan
1249,400,Jordan
1250,400,Jordan
1251,400,Jordan
1252,400,Jordan
1253,400,Jordan
1254,400,Jordan
1255,400,Jordan
1256,400,Jordan
1257,400,Jordan
1258,400,Jordan
1259,400,Jordan
1260,400,Jordan
1261,400,Jordan
1262,400,Jordan
1263,400,Jordan
1264,400,Jordan
1265,400,Jordan
1266,400,Jordan
1267,400,Jordan
1268,400,Jordan
1269,400,Jordan
1270,400,Jordan
1271,400,Jordan
1272,400,Jordan
1273,400,Jordan
1274,400,Jordan
1275,400,Jordan
1276,400,Jordan
1277,400,Jordan
1278,400,Jordan
1279,400,Jordan
1280,400,Jordan
1281,400,Jordan
1282,400,Jordan
1283,400,Jordan
1284,400,Jordan
1285,400,Jordan
1286,400,Jordan
1287,400,Jordan
1288,400,Jordan
1289,400,Jordan
1290,400,Jordan
1291,400,Jordan
1292,400,Jordan
1293,400,Jordan
1294,400,Jordan
1295,400,Jordan
1296,400,Jordan
1297,400,Jordan
1298,400,Jordan
1299,400,Jordan
1300,400,Jordan
1301,400,Jordan
1302,400,Jordan
1303,400,Jordan
1304,400,Jordan
1305,400,Jordan
1306,400,Jordan
1307,400,Jordan
1308,400,Jordan
1309,400,Jordan
1310,400,Jordan
1311,400,Jordan
1312,400,Jordan
1313,400,Jordan
1314,400,Jordan
1315,400,Jordan
1316,400,Jordan
1317,400,Jordan
1318,400,Jordan
1319,400,Jordan
1320,400,Jordan
1321,400,Jordan
1322,400,Jordan
1323,400,Jordan
1324,400,Jordan
1325,400,Jordan
1326,400,Jordan
1327,400,Jordan
1328,400,Jordan
1329,400,Jordan
1330,400,Jordan
1331,400,Jordan
1332,400,Jordan
1333,400,Jordan
1334,400,Jordan
1335,400,Jordan
1336,400,Jordan
1337,400,Jordan
1338,400,Jordan
1339,400,Jordan
1340,400,Jordan
1341,400,Jordan
1342,400,Jordan
1343,400,Jordan
1344,400,Jordan
1345,400,Jordan
1346,400,Jordan
1347,400,Jordan
1348,400,Jordan
1349,400,Jordan
1350,400,Jordan
1351,400,Jordan
1352,400,Jordan
1353,400,Jordan
1354,400,Jordan
1355,400,Jordan
1356,400,Jordan
1357,400,Jordan
1358,400,Jordan
1359,400,Jordan
1360,400,Jordan
1361,400,Jordan
1362,400,Jordan
1363,400,Jordan
1364,400,Jordan
1365,400,Jordan
1366,400,Jordan
1367,400,Jordan
1368,400,Jordan
1369,400,Jordan
1370,400,Jordan
1371,400,Jordan
1372,400,Jordan
1373,400,Jordan
1374,400,Jordan
1375,400,Jordan
1376,400,Jordan
1377,400,Jordan
1378,400,Jordan
1379,400,Jordan
1380,400,Jordan
1381,400,Jordan
1382,400,Jordan
1383,400,Jordan
1384,400,Jordan
1385,434,Libya
1386,434,Libya
1387,434,Libya
1388,434,Libya
1389,434,Libya
1390,434,Libya
1391,434,Libya
1392,434,Libya
1393,434,Libya
1394,434,Libya
1395,434,Libya
1396,434,Libya
1397,434,Libya
1398,434,Libya
1399,434,Libya
1400,434,Libya
1401,434,Libya
1402,434,Libya
1403,434,Libya
1404,434,Libya
1405,434,Libya
1406,434,Libya
1407,434,Libya
1408,434,Libya
1409,434,Libya
1410,434,Libya
1411,434,Libya
1412,434,Libya
1413,434,Libya
1414,434,Libya
1415,434,Libya
1416,434,Libya
1417,434,Libya
1418,434,Libya
1419,434,Libya
1420,434,Libya
1421,434,Libya
1422,434,Libya
1423,446,
1424,446,
1425,446,
1426,446,
1427,446,
1428,446,
1429,446,
1430,446,
1431,446,
1432,446,
1433,446,
1434,446,
1435,446,
1436,446,
1437,446,
1438,446,
1439,446,
1440,446,
1441,446,
1442,446,
1443,446,
1444,446,
1445,446,
1446,446,
1447,446,
1448,446,
1449,446,
1450,446,
1451,446,
1452,446,
1453,446,
1454,446,
1455,446,
1456,446,
1457,446,
1458,446,
1459,446,
1460,446,
1461,446,
1462,446,
1463,446,
1464,446,
1465,446,
1466,446,
1467,446,
1468,446,
1469,446,
1470,446,
1471,446,
1472,446,
1473,446,
1474,446,
1475,446,
1476,446,
1477,446,
1478,446,
1479,446,
1480,462,Maldives
1481,462,Maldives
1482,462,Maldives
1483,462,Maldives
1484,462,Maldives
1485,462,Maldives
1486,462,Maldives
1487,462,Maldives
1488,462,Maldives
1489,462,Maldives
1490,462,Maldives
1491,462,Maldives
1492,462,Maldives
1493,462,Maldives
1494,462,Maldives
1495,462,Maldives
1496,462,Maldives
1497,462,Maldives
1498,462,Maldives
1499,462,Maldives
1500,462,Maldives
1501,462,Maldives
1502,462,Maldives
1503,462,Maldives
1504,462,Maldives
1505,462,Maldives
1506,462,Maldives
1507,462,Maldives
1508,462,Maldives
1509,462,Maldives
1510,462,Maldives
1511,462,Maldives
1512,462,Maldives
1513,462,Maldives
1514,462,Maldives
1515,462,Maldives
